Time,Whole Building:Facility Total Purchased Electric Power [kW](Hourly),Pwt[kWh/unit],Ppv(the output of the PV array)[kWh/unit],House consumption -Ppv-Pw[5 PV panel & 1 wind turbine],SOC(t)[%],Pneed(kWh)_input,Battery on/off
2017/8/1 0:00,0.191,0.141325925,0,0.049674075,29.69649221,0.049674075,1
2017/8/1 1:00,0.097,0.1420107,0,-0.0450107,29.97150685,-0.0450107,1
2017/8/1 2:00,0.097,0.162049728,0,-0.065049728,30.36895963,-0.065049728,1
2017/8/1 3:00,0.097,0.170945689,0,-0.073945689,30.82076659,-0.073945689,1
2017/8/1 4:00,0.097,0.148820908,0,-0.051820908,31.13739149,-0.051820908,1
2017/8/1 5:00,0.097,0.178197272,0.001599814,-0.089196344,31.6823797,-0.089196344,1
2017/8/1 6:00,0.097,0.146284047,0.004101226,-0.069790178,32.10879655,-0.069790178,1
2017/8/1 7:00,0.1259,0.125896685,0.041682164,-0.208407504,33.382163,-0.208407504,1
2017/8/1 8:00,0.2957,0.124873173,0.059301793,-0.125682139,34.15007883,-0.125682139,1
2017/8/1 9:00,0.2559,0.172171429,0.068045399,-0.256498425,35.71728003,-0.256498425,1
2017/8/1 10:00,0.097,0.248757963,0.149386756,-0.898691741,41.20827193,-0.898691741,1
2017/8/1 11:00,0.097,0.296303132,0.167362482,-1.036115542,47.53892101,-1.036115542,1
2017/8/1 12:00,0.097,0.19363551,0.171337191,-0.953321464,53.36369963,-0.953321464,1
2017/8/1 13:00,0.1259,0,0.162891296,-0.688556481,57.57076851,-0.688556481,1
2017/8/1 14:00,0.1259,0,0.14235029,-0.585851448,61.15031131,-0.585851448,1
2017/8/1 15:00,0.097,0,0.113357876,-0.46978938,64.02071677,-0.46978938,1
2017/8/1 16:00,0.097,0.517394391,0.073604555,-0.788417168,68.83793283,-0.788417168,1
2017/8/1 17:00,0.1259,0.658687687,0.036854007,-0.717057721,73.21914382,-0.717057721,1
2017/8/1 18:00,0.3018,0.142632939,0.008032027,0.119006927,72.49201344,0.119006927,1
2017/8/1 19:00,0.3107,0.08660113,0.000509054,0.221553598,71.13832456,0.221553598,1
2017/8/1 20:00,0.8049,0.143619071,0,0.661280929,67.09790885,0.661280929,1
2017/8/1 21:00,0.3307,0,0,0.3307,65.07733724,0.3307,1
2017/8/1 22:00,0.3596,0.031384699,0,0.328215301,63.0719471,0.328215301,1
2017/8/1 23:00,0.1548,0,0,0.1548,62.12612162,0.1548,1
2017/8/2 0:00,0.191,0,0,0.191,60.95911473,0.191,1
2017/8/2 1:00,0.097,0,0,0.097,60.36644631,0.097,1
2017/8/2 2:00,0.097,0,0,0.097,59.77377789,0.097,1
2017/8/2 3:00,0.097,0,0,0.097,59.18110947,0.097,1
2017/8/2 4:00,0.097,0,0,0.097,58.58844105,0.097,1
2017/8/2 5:00,0.097,0,0.0015959,0.089020499,58.04452725,0.089020499,1
2017/8/2 6:00,0.097,0,0.004201803,0.075990984,57.58022358,0.075990984,1
2017/8/2 7:00,0.1259,0,0.037201583,-0.060107915,57.94748196,-0.060107915,1
2017/8/2 8:00,0.2957,0,0.059709735,-0.002848674,57.96488731,-0.002848674,1
2017/8/2 9:00,0.2559,0,0.12872252,-0.387712598,60.33380497,-0.387712598,1
2017/8/2 10:00,0.097,0,0.137329391,-0.589646953,63.93653825,-0.589646953,1
2017/8/2 11:00,0.097,0,0.160398424,-0.704992118,68.2440286,-0.704992118,1
2017/8/2 12:00,0.097,0.013142857,0.171979395,-0.77603983,72.98561932,-0.77603983,1
2017/8/2 13:00,0.1259,0.036524153,0.168657471,-0.753911509,77.59200636,-0.753911509,1
2017/8/2 14:00,0.1259,0.054151505,0.145916061,-0.65783181,77.59200636,0.1259,0
2017/8/2 15:00,0.097,0,0.116986394,-0.48793197,76.99933794,0.097,0
2017/8/2 16:00,0.097,0,0.07895819,-0.29779095,76.40666952,0.097,0
2017/8/2 17:00,0.1259,0,0.037632105,-0.062260525,75.63742257,0.1259,0
2017/8/2 18:00,0.3018,0.204657038,0.008347485,0.055405536,73.79342949,0.3018,0
2017/8/2 19:00,0.3107,0.221240727,0.00050746,0.086921974,73.26233764,0.086921974,1
2017/8/2 20:00,0.8049,0.32891825,0,0.47598175,70.3540969,0.47598175,1
2017/8/2 21:00,0.3307,0.273283033,0,0.057416967,70.00328017,0.057416967,1
2017/8/2 22:00,0.3596,0.252286551,0,0.107313449,69.34759674,0.107313449,1
2017/8/2 23:00,0.1548,0.206925003,0,-0.052125003,69.66607967,-0.052125003,1
2017/8/3 0:00,0.191,0.144886613,0,0.046113387,69.38432762,0.046113387,1
2017/8/3 1:00,0.097,0.169091488,0,-0.072091488,69.82480544,-0.072091488,1
2017/8/3 2:00,0.097,0.155119584,0,-0.058119584,70.17991515,-0.058119584,1
2017/8/3 3:00,0.097,0.080134949,0,0.016865051,70.07686996,0.016865051,1
2017/8/3 4:00,0.097,0,0,0.097,69.48420154,0.097,1
2017/8/3 5:00,0.097,0.013726275,0.001041949,0.078063979,69.0072319,0.078063979,1
2017/8/3 6:00,0.097,0,0.003978634,0.077106829,68.53611043,0.077106829,1
2017/8/3 7:00,0.1259,0,0.043757006,-0.092885029,69.10363645,-0.092885029,1
2017/8/3 8:00,0.2957,0,0.085321635,-0.130908177,69.90348328,-0.130908177,1
2017/8/3 9:00,0.2559,0,0.088539169,-0.186795844,71.04480285,-0.186795844,1
2017/8/3 10:00,0.097,0,0.11142312,-0.460115598,73.85610166,-0.460115598,1
2017/8/3 11:00,0.097,0,0.071070354,-0.258351768,75.43462675,-0.258351768,1
2017/8/3 12:00,0.097,0.485594242,0.140028564,-1.08873706,74.84195833,0.097,0
2017/8/3 13:00,0.1259,0.510069181,0.126745926,-1.01789881,74.07271138,0.1259,0
2017/8/3 14:00,0.1259,0.329393991,0.103103006,-0.719009019,73.30346443,0.1259,0
2017/8/3 15:00,0.097,0.369412779,0.094554135,-0.745183454,72.71079601,0.097,0
2017/8/3 16:00,0.097,0.402503275,0.088045003,-0.74572829,72.11812759,0.097,0
2017/8/3 17:00,0.1259,0.356583368,0.018366308,-0.322514907,71.34888064,0.1259,0
2017/8/3 18:00,0.3018,0.32717621,0.005454123,-0.052646825,69.50488756,0.3018,0
2017/8/3 19:00,0.3107,0.135000905,0.000507401,0.173162092,67.60651562,0.3107,0
2017/8/3 20:00,0.8049,0.0091126,0,0.7957874,62.68858973,0.8049,0
2017/8/3 21:00,0.3307,0.002414853,0,0.328285147,60.66801812,0.3307,0
2017/8/3 22:00,0.3596,0.071595768,0,0.288004232,58.47086798,0.3596,0
2017/8/3 23:00,0.1548,0.141468887,0,0.013331113,57.5250425,0.1548,0
